#	top	0.001
08578517	_derivationally_related_form	02661574
02661574	_derivationally_related_form	08578517
01894520	_derivationally_related_form	00575365
04735233	_hypernym	04733640
14570330	_hypernym	00024720
02298632	_synset_domain_topic_of	00092366
00009147	_hypernym	01513430
05261566	_hypernym	05261404
02130524	_also_see	02128653
11377043	_instance_hypernym	10444194
11607739	_member_meronym	11624367
00062133	_derivationally_related_form	02197360
anomaly:	02329093	_derivationally_related_form	02330582
10468962	_hypernym	10469346
08159740	_member_meronym	10951697
01783022	_hypernym	01782650
00371314	_hypernym	00363260
00752431	_hypernym	00751145
05086740	_hypernym	05084201
04568298	_has_part	04551950
00696882	_hypernym	00657604
11190183	_instance_hypernym	10794014
02714200	_hypernym	02713372
02280132	_hypernym	02202928
14407283	_hypernym	14406573
10368920	_hypernym	09861946
13984613	_hypernym	13984285
10012484	_derivationally_related_form	07570720
09704630	_hypernym	09701148
02679530	_derivationally_related_form	01216191
00022686	_hypernym	00019448
00095502	_hypernym	00035189
00274724	_hypernym	00258857
01992773	_hypernym	01975687
00463246	_hypernym	00523513
00835903	_hypernym	00836705
01914415	_member_meronym	01914961
07071942	_hypernym	07066659
11070644	_instance_hypernym	10444194
13559782	_derivationally_related_form	00119524
03659809	_hypernym	03700963
01241594	_derivationally_related_form	02148109
01152214	_hypernym	01151110
01307142	_derivationally_related_form	03658858
07365849	_derivationally_related_form	02680814
12808227	_member_meronym	12874231
07265619	_hypernym	06875094
07538965	_hypernym	07486628
12600574	_member_meronym	12602850
01162754	_derivationally_related_form	00948206
01078050	_hypernym	01076615
04151940	_derivationally_related_form	01332730
01077887	_derivationally_related_form	00239230
01035853	_has_part	01036194
13580415	_derivationally_related_form	02669789
01210352	_synset_domain_topic_of	00612160
15232406	_has_part	15232712
07161741	_hypernym	07164546
11439031	_derivationally_related_form	02042404
01154175	_derivationally_related_form	00130347
01868258	_hypernym	01877355
06548498	_hypernym	06547059
02188065	_member_meronym	02199712
00971463	_derivationally_related_form	00222472
00059127	_hypernym	00058743
10481268	_hypernym	09615807
00657550	_hypernym	00654625
14543231	_hypernym	14541044
03864994	_hypernym	03679986
01721169	_hypernym	01712704
06399126	_synset_domain_topic_of	06170498
01846658	_hypernym	01846916
02314275	_hypernym	02205272
00644066	_hypernym	00193486
07473441	_hypernym	07291312
10893606	_instance_hypernym	10450303
00729108	_hypernym	00728641
03316274	_hypernym	03104594
01122754	_hypernym	01122149
07334490	_derivationally_related_form	01564144
00774344	_hypernym	00775156
anomaly:	07320302	_similar_to	07296428
09011151	_has_part	09268236
10004804	_hypernym	09627906
14050434	_hypernym	14050143
01578513	_hypernym	01577635
00238542	_hypernym	00209174
03234306	_derivationally_related_form	01582645
12900987	_has_part	07721456
05611302	_hypernym	00023271
06369829	_hypernym	06367107
11940006	_has_part	11940478
14859838	_hypernym	14859344
10341660	_hypernym	00004475
02336684	_derivationally_related_form	04234455
11350705	_instance_hypernym	09756637
01030832	_hypernym	00884540
01103693	_hypernym	01108148
00656292	_hypernym	00654625
10017272	_hypernym	09875786
02823124	_hypernym	03277771
02973236	_hypernym	04574999
09304465	_hypernym	09379111
10093908	_derivationally_related_form	02702830
05676605	_hypernym	05675905
00201034	_hypernym	00243900
02112891	_derivationally_related_form	14841267
02544937	_hypernym	02544348
02961035	_hypernym	03541696
13260190	_hypernym	13255145
10692482	_hypernym	09979321
10621514	_hypernym	10419047
05529286	_derivationally_related_form	02603673
00161225	_verb_group	00550117
00328370	_hypernym	00326773
00358290	_hypernym	00358089
05129565	_hypernym	05098942
01282014	_derivationally_related_form	04729328
02588677	_hypernym	02538086
00780575	_derivationally_related_form	06600684
03219135	_hypernym	03964744
02447542	_hypernym	02444662
01548301	_hypernym	01547832
00336260	_hypernym	00109660
06773150	_hypernym	06771653
12656229	_hypernym	12655869
05670710	_hypernym	05682950
00795632	_hypernym	00752764
11976170	_hypernym	11672400
12290116	_member_meronym	12293419
06602935	_hypernym	06601327
05672391	_hypernym	05669934
01628449	_derivationally_related_form	00156390
02267989	_derivationally_related_form	15141486
01230850	_hypernym	01229938
11200276	_instance_hypernym	10123844
10583916	_hypernym	10351874
anomaly:	14500908	_synset_domain_topic_of	13920835
00136800	_hypernym	00146138
01424607	_hypernym	01387617
00377002	_hypernym	00146138
15143864	_hypernym	15140405
02291708	_hypernym	02289295
00041188	_derivationally_related_form	01072949
01437805	_member_meronym	01443998
00400645	_hypernym	00268557
12801520	_hypernym	13122364
11910070	_hypernym	11575425
02694247	_derivationally_related_form	05769314
08830456	_has_part	09342729
02614482	_hypernym	02612657
11015080	_instance_hypernym	10547145
02630739	_hypernym	02623445
01806567	_hypernym	01802721
10149867	_derivationally_related_form	02494356
08508105	_derivationally_related_form	02737187
13999663	_hypernym	13998576
02129709	_hypernym	02129289
01694311	_hypernym	01693783
11746776	_member_meronym	11750359
00744070	_hypernym	00743344
08221897	_member_meronym	10440717
anomaly:	03879116	_has_part	01335588
08139795	_has_part	04510456
01640567	_member_meronym	01641739
13038944	_member_meronym	13047216
08841956	_member_meronym	09712696
12322887	_member_meronym	12346179
01557697	_member_meronym	01558594
04546855	_has_part	03882611
01947613	_hypernym	01938850
05003273	_hypernym	05002822
11482312	_derivationally_related_form	00321936
04612840	_hypernym	04295081
06582761	_hypernym	06584891
00434374	_hypernym	00109660
11692952	_member_meronym	11712827
02019929	_hypernym	02000954
07967982	_hypernym	00031264
02565728	_member_meronym	02566325
02102484	_derivationally_related_form	02106006
07066659	_derivationally_related_form	10155849
00216174	_hypernym	00209943
10195261	_derivationally_related_form	00158996
01386494	_member_meronym	01399772
12299988	_member_meronym	12309403
02596067	_hypernym	02594250
12641931	_hypernym	12641413
02132580	_hypernym	02132136
00292672	_hypernym	00258857
01088923	_hypernym	01850315
10481268	_hypernym	09951274
12118661	_hypernym	12135898
06377442	_hypernym	06364329
01431132	_hypernym	01430633
05167618	_derivationally_related_form	09999795
11115558	_instance_hypernym	10204177
06387980	_has_part	06394865
04660536	_derivationally_related_form	01194483
02532028	_hypernym	02529772
08795974	_synset_domain_topic_of	06449735
00420132	_derivationally_related_form	00148057
06590885	_derivationally_related_form	01752316
09616722	_hypernym	09943541
01095899	_hypernym	01095218
12758639	_member_meronym	12760013
05021151	_hypernym	05020358
00475819	_derivationally_related_form	00252662
02416278	_derivationally_related_form	09935434
anomaly:	00391086	_derivationally_related_form	01556572
00757544	_hypernym	00685683
01831930	_member_meronym	01832979
03230785	_hypernym	04227144
02648253	_derivationally_related_form	01018366
10423225	_hypernym	10191192
11665781	_member_meronym	12358485
02576921	_derivationally_related_form	13960464
05783940	_hypernym	05772356
03899768	_derivationally_related_form	02226380
07357101	_derivationally_related_form	00518395
01834304	_also_see	01821266
12030654	_hypernym	11915214
05127959	_derivationally_related_form	02688403
00605783	_hypernym	00607114
02286815	_member_meronym	02287476
13355656	_synset_domain_topic_of	06149484
00166355	_hypernym	00166172
12917338	_member_meronym	12917901
05060476	_derivationally_related_form	01143279
04540547	_hypernym	02810471
09159003	_has_part	09222880
05830059	_derivationally_related_form	02507736
02269767	_hypernym	02269143
11259054	_instance_hypernym	10090020
02911890	_synset_domain_topic_of	06851742
13779032	_has_part	13600822
07373602	_hypernym	07373277
00661213	_hypernym	00650353
00780575	_similar_to	00779374
06169050	_derivationally_related_form	02377418
10721124	_hypernym	09957156
06718862	_member_of_domain_usage	09722898
02771840	_derivationally_related_form	01694620
12448361	_hypernym	12446200
02331326	_derivationally_related_form	02686379
02163982	_member_meronym	02168121
02259829	_derivationally_related_form	13253751
02612762	_synset_domain_topic_of	01032368
01030022	_derivationally_related_form	05074374
06762380	_derivationally_related_form	00199309
12150028	_hypernym	13122364
01556671	_member_meronym	01557697
13220842	_member_meronym	13224086
01189427	_hypernym	01196037
14906850	_hypernym	14806838
10113997	_hypernym	10577284
08682819	_has_part	08564139
05305806	_has_part	05371663
09893015	_derivationally_related_form	00589769
anomaly:	00829918	_synset_domain_topic_of	06090869
01639105	_derivationally_related_form	09934921
05915584	_hypernym	05913538
02314275	_derivationally_related_form	06540863
03492542	_hypernym	03706653
05560787	_has_part	05591256
01531742	_hypernym	00356258
06667792	_hypernym	06667317
08972521	_member_of_domain_region	10525878
09073697	_instance_hypernym	08638442
05097845	_hypernym	05093890
11451442	_hypernym	11420831
02102484	_also_see	02103481
07718747	_hypernym	07707451
00816556	_derivationally_related_form	07204240
03482405	_hypernym	02801938
06681551	_derivationally_related_form	00967098
00027268	_derivationally_related_form	00628692
02019716	_derivationally_related_form	07429976
10890637	_instance_hypernym	09940146
02969886	_derivationally_related_form	01218084
07750586	_hypernym	07737081
01900408	_derivationally_related_form	10667041
09828760	_derivationally_related_form	06061631
00347276	_hypernym	00345761
02430045	_has_part	02462602
14562960	_derivationally_related_form	02609764
09117351	_has_part	09330604
00669630	_hypernym	00668099
02127052	_hypernym	02124623
00279835	_derivationally_related_form	01850315
08094659	_member_meronym	10384772
01189282	_derivationally_related_form	00906735
07144039	_hypernym	07140659
00085678	_derivationally_related_form	02274482
13904843	_derivationally_related_form	01309143
02529515	_member_meronym	02533424
00649760	_hypernym	00646833
00843325	_derivationally_related_form	01169433
00442669	_derivationally_related_form	13451508
02633422	_hypernym	02632989
01564144	_derivationally_related_form	07334490
10071557	_derivationally_related_form	05970755
08394922	_has_part	02741681
11702999	_hypernym	11564258
02386012	_derivationally_related_form	01040646
06681551	_derivationally_related_form	00965035
02645007	_derivationally_related_form	05121418
09619824	_derivationally_related_form	04763293
03634723	_instance_hypernym	04078747
14717275	_hypernym	14822563
08815858	_has_part	08818835
00058645	_derivationally_related_form	02395406
anomaly:	02839200	_derivationally_related_form	02944826
01683101	_derivationally_related_form	03437430
02076535	_member_meronym	02076779
00799076	_derivationally_related_form	07206302
01286799	_derivationally_related_form	02118476
05496990	_has_part	05478336
00514463	_hypernym	01013367
00561036	_also_see	01076793
15274441	_derivationally_related_form	00245059
11164671	_instance_hypernym	09798811
13962498	_derivationally_related_form	00358431
14439447	_derivationally_related_form	02567519
06558678	_derivationally_related_form	02498716
00876665	_derivationally_related_form	07143137
11178161	_instance_hypernym	10375794
00478217	_derivationally_related_form	00229934
13557158	_derivationally_related_form	01578513
03407369	_derivationally_related_form	01137829
05890963	_synset_domain_topic_of	06101551
01900408	_derivationally_related_form	07317519
09055015	_has_part	09445088
09758781	_hypernym	10245639
02569790	_derivationally_related_form	07339329
10438172	_derivationally_related_form	01632411
00441212	_derivationally_related_form	13556509
01484714	_hypernym	01484392
00829761	_derivationally_related_form	00238527
00727564	_similar_to	00728826
00731222	_derivationally_related_form	02475922
03307274	_has_part	03882611
02039544	_derivationally_related_form	03256166
00570590	_also_see	00186616
14181187	_hypernym	14178077
06362953	_has_part	06398760
01408760	_derivationally_related_form	00478647
00596393	_derivationally_related_form	10464542
07254594	_derivationally_related_form	00757544
08928193	_has_part	08928933
13971561	_derivationally_related_form	01765392
13512725	_has_part	13504497
00882220	_derivationally_related_form	07014320
00779601	_also_see	00779360
00775156	_derivationally_related_form	07181935
05808218	_derivationally_related_form	00598954
02403003	_has_part	02462602
07939382	_derivationally_related_form	01474209
01120069	_derivationally_related_form	00773402
07291794	_derivationally_related_form	00352826
10779775	_derivationally_related_form	01552219
06946823	_hypernym	06946497
01868370	_derivationally_related_form	10781236
02284544	_hypernym	02271137
02708123	_derivationally_related_form	01067819
00113113	_derivationally_related_form	01447632
08820121	_has_part	09292751
09184975	_derivationally_related_form	01759326
05426989	_has_part	05455690
14840755	_hypernym	00019613
09050730	_has_part	09051235
05278152	_hypernym	05269901
01024190	_derivationally_related_form	06333653
09897696	_derivationally_related_form	01449974
00279235	_derivationally_related_form	01175224
02370806	_has_part	02462828
07931870	_hypernym	07930554
02795169	_has_part	02895881
00436668	_derivationally_related_form	07439883
02157731	_derivationally_related_form	14521648
00918746	_derivationally_related_form	05804136
00911048	_hypernym	00908909
02634808	_derivationally_related_form	13860281
01588172	_derivationally_related_form	04870340
01448100	_also_see	01505254
03709206	_hypernym	04147495
10016954	_derivationally_related_form	01520844
14122497	_hypernym	14145095
13884511	_hypernym	13883885
02836035	_has_part	04283378
08748280	_has_part	08748499
14832193	_has_part	14964129
07975026	_hypernym	07950920
07788885	_hypernym	07783210
01725051	_synset_domain_topic_of	07020895
01755627	_also_see	02291843
10378290	_hypernym	10599806
15022389	_hypernym	14736359
anomaly:	01133876	_similar_to	01372049
06755156	_hypernym	06648724
05498773	_hypernym	05462674
00474762	_derivationally_related_form	04068441
00493460	_derivationally_related_form	04763293
07253637	_hypernym	06709533
14706889	_hypernym	14706749
02584915	_derivationally_related_form	01209678
14944888	_hypernym	14727670
05701738	_hypernym	00023271
02948072	_has_part	02948719
04889527	_hypernym	04616059
09288635	_derivationally_related_form	02072394
09547111	_hypernym	09545324
02179279	_also_see	01115349
07693972	_hypernym	07684600
02679530	_derivationally_related_form	10740219
00341695	_derivationally_related_form	01506583
09995573	_hypernym	09998101
09212572	_hypernym	09335240
03062651	_hypernym	03357376
02291843	_also_see	00583990
02331309	_hypernym	02331046
00109660	_derivationally_related_form	07296428
02077656	_derivationally_related_form	03100897
00781168	_also_see	00430191
00568430	_hypernym	00566135
02584981	_also_see	01226240
15210045	_has_part	15192890
02123812	_also_see	01834304
01801600	_also_see	01624633
00364479	_also_see	01149494
02495922	_also_see	00834198
02880940	_hypernym	03206908
13491060	_derivationally_related_form	00442669
06285090	_has_part	06312966
07594840	_hypernym	07557165
03566329	_hypernym	03700963
01414626	_derivationally_related_form	00134780
07600696	_hypernym	07596684
01979901	_derivationally_related_form	09334396
00346991	_also_see	01754421
02822220	_hypernym	02820210
03286572	_hypernym	03739693
06113415	_hypernym	06113009
02174896	_also_see	00749230
09895222	_hypernym	10480253
05243879	_hypernym	08657249
anomaly:	02148788	_also_see	06879180
00351334	_derivationally_related_form	00121678
06320801	_hypernym	06289250
05015678	_hypernym	05015117
00853633	_also_see	00851933
02440523	_derivationally_related_form	01921204
00798539	_hypernym	00796976
01873942	_hypernym	01871680
anomaly:	12714114	_derivationally_related_form	11585340
12515711	_hypernym	11747468
06806469	_hypernym	06791372
06883725	_hypernym	06880664
02554922	_derivationally_related_form	01211339
10265070	_hypernym	09903153
01104637	_has_part	00609236
00282485	_hypernym	00282050
01026262	_derivationally_related_form	04905188
02291548	_hypernym	02291708
14793533	_hypernym	14633206
03534776	_hypernym	04517823
02803349	_hypernym	03800933
00850501	_hypernym	00849080
09755398	_hypernym	10016103
04050066	_hypernym	04451818
01267098	_hypernym	01264283
08295580	_member_meronym	08299493
10634990	_derivationally_related_form	00777522
08507558	_hypernym	08620061
02753881	_hypernym	04551375
15008847	_hypernym	14845743
01302183	_hypernym	01301410
07302542	_hypernym	07339329
14553290	_hypernym	14096724
06528783	_hypernym	06472025
02727883	_verb_group	02244956
06717170	_member_of_domain_usage	10673946
00255710	_has_part	00396642
00918312	_hypernym	00926702
14058252	_hypernym	14052403
04329190	_hypernym	03177349
00306314	_derivationally_related_form	05623181
07654886	_hypernym	07654667
02452885	_derivationally_related_form	01763813
06464419	_derivationally_related_form	10747294
10740219	_hypernym	10677713
06880664	_hypernym	05765415
00729109	_verb_group	02455407
01239619	_derivationally_related_form	02918595
13992514	_hypernym	13994148
anomaly:	00059728	_similar_to	00445802
06619428	_hypernym	06619065
05077146	_hypernym	05075602
02244956	_verb_group	02727883
07503430	_hypernym	07503260
01477014	_hypernym	01476483
15173479	_hypernym	05726596
05643190	_hypernym	05640433
10995850	_instance_hypernym	10233445
07823951	_derivationally_related_form	02192225
06014730	_hypernym	05802185
02299378	_hypernym	02298541
07365849	_hypernym	07291312
10216106	_hypernym	09609232
13932421	_hypernym	13927383
00269963	_derivationally_related_form	00167824
02659763	_derivationally_related_form	00795008
10788852	_hypernym	09619168
00381680	_hypernym	00378985
01642924	_derivationally_related_form	11410625
00430140	_hypernym	00426928
00154233	_hypernym	00153961
00945916	_derivationally_related_form	02269894
12056990	_hypernym	12056217
00555138	_derivationally_related_form	02550516
00077981	_hypernym	00041899
00901651	_hypernym	00901103
10685123	_hypernym	10269785
00709205	_hypernym	00658082
07786005	_hypernym	07775905
04561422	_hypernym	03765561
08508105	_hypernym	08507558
07365024	_derivationally_related_form	01369758
anomaly:	10669991	_member_of_domain_region	00792991
08081668	_hypernym	08053576
00880227	_hypernym	00856824
02026785	_synset_domain_topic_of	06125698
08159740	_member_meronym	10995850
12731029	_hypernym	12725521
00051942	_hypernym	00046534
06760722	_hypernym	06758225
09441107	_has_part	08730550
13793776	_hypernym	13793504
10225219	_hypernym	09769636
13359941	_hypernym	13359690
05124057	_derivationally_related_form	00947077
01408153	_derivationally_related_form	03526805
13448334	_has_part	00042541
10316164	_hypernym	10317007
01141612	_derivationally_related_form	02548247
01278427	_hypernym	01277974
01384102	_hypernym	01382083
00732091	_hypernym	00731789
00683280	_hypernym	00686447
01439190	_also_see	01998793
01151097	_derivationally_related_form	00294884
10873059	_instance_hypernym	10650162
00105778	_hypernym	00105554
01898592	_hypernym	01898282
01527877	_synset_domain_topic_of	08081668
14139015	_hypernym	14138691
11192067	_instance_hypernym	09974648
00109660	_derivationally_related_form	11412727
01949674	_hypernym	02077656
00442267	_derivationally_related_form	14686913
12728164	_hypernym	12724942
00396325	_hypernym	00394813
07188385	_hypernym	07187773
02106006	_derivationally_related_form	05651971
01188725	_derivationally_related_form	09367203
04764741	_derivationally_related_form	00492677
13329047	_hypernym	13328853
00217700	_hypernym	00217152
08419163	_hypernym	08420278
01768402	_member_meronym	01768969
01294330	_instance_hypernym	00956485
04790774	_derivationally_related_form	01611067
02280869	_derivationally_related_form	10551751
05611302	_derivationally_related_form	00609506
02398521	_hypernym	02394477
11656123	_hypernym	13108841
06693870	_hypernym	06693198
00719705	_hypernym	00719494
01037148	_derivationally_related_form	04799881
11886788	_hypernym	11575425
00279822	_derivationally_related_form	04961136
00059376	_derivationally_related_form	14486122
01661404	_member_meronym	01662274
00337234	_hypernym	00336260
07342495	_hypernym	07342049
00076114	_hypernym	00092293
00592341	_hypernym	00591115
05168261	_hypernym	05138488
anomaly:	09788073	_member_meronym	01142203
02152812	_hypernym	02131279
00403092	_hypernym	00376063
07335097	_hypernym	07334490
00325502	_hypernym	00325110
01002740	_hypernym	01000214
10913641	_instance_hypernym	09765278
00864475	_hypernym	00845909
02241767	_synset_domain_topic_of	00766234
11087359	_instance_hypernym	10547145
08251303	_member_meronym	09958892
14403772	_hypernym	14403107
00365471	_derivationally_related_form	00243900
00158185	_hypernym	00157081
02159271	_hypernym	08103777
01764800	_derivationally_related_form	15274441
01232412	_hypernym	01230965
07993279	_member_meronym	07993929
13363970	_hypernym	13359690
05171045	_derivationally_related_form	00055539
01628885	_member_meronym	01630284
07525555	_hypernym	07523905
05817845	_hypernym	05817396
02288656	_hypernym	02573275
01150467	_hypernym	01150200
08192817	_hypernym	08198137
00046534	_derivationally_related_form	02728440
00477107	_derivationally_related_form	04643397
00727012	_hypernym	00726300
02679899	_hypernym	02681795
02739480	_hypernym	00121046
00204943	_hypernym	00204439
02744651	_derivationally_related_form	03499142
02349212	_derivationally_related_form	04895246
09103648	_member_meronym	09103377
00252662	_hypernym	01247647
02239997	_hypernym	02289295
10587605	_hypernym	10171567
00309990	_hypernym	00334186
00226071	_hypernym	00224901
04692157	_hypernym	04673965
03040974	_derivationally_related_form	01392380
01845627	_member_meronym	01853379
02092476	_derivationally_related_form	08643015
07966140	_has_part	07966719
00235435	_derivationally_related_form	00348746
01720980	_hypernym	01712704
12411084	_member_meronym	12411461
01262936	_derivationally_related_form	07851054
02528534	_member_meronym	02542162
04827652	_hypernym	04850589
13233012	_member_meronym	13239471
00330003	_hypernym	00328802
11273286	_instance_hypernym	10430665
00804476	_derivationally_related_form	07255027
00716531	_hypernym	00632236
12794135	_hypernym	12793015
04747445	_derivationally_related_form	02665282
00217152	_hypernym	01207951
08800258	_member_meronym	09717047
12568186	_hypernym	12495146
06513764	_hypernym	06513366
04170515	_hypernym	04304375
02068735	_member_meronym	02071506
01008903	_hypernym	01007924
13550318	_has_part	13532886
10187990	_hypernym	09770949
01849288	_also_see	02393401
02053829	_hypernym	02051694
00260881	_hypernym	00260622
01695259	_member_meronym	01695681
13038944	_member_meronym	13039553
08356074	_has_part	10467395
00480221	_derivationally_related_form	09825519
14599168	_hypernym	14739360
01877620	_hypernym	01835496
01516965	_hypernym	01517662
12133151	_hypernym	12102133
14050143	_derivationally_related_form	00022686
00947077	_derivationally_related_form	05124057
01524359	_hypernym	01503061
14862753	_hypernym	14739360
13986372	_derivationally_related_form	01812324
00501479	_hypernym	00499066
05763412	_derivationally_related_form	00618878
01896478	_derivationally_related_form	00794079
08791167	_has_part	08915159
00258854	_derivationally_related_form	00199912
01628450	_member_meronym	01638482
11197099	_instance_hypernym	10256080
12355320	_member_meronym	12355594
00003553	_derivationally_related_form	00368109
04781349	_hypernym	04780958
02589013	_derivationally_related_form	01140839
01079042	_derivationally_related_form	02452885
02110552	_hypernym	02110220
12615427	_member_meronym	12618524
02521916	_member_meronym	02523750
01070102	_derivationally_related_form	00494907
02694287	_derivationally_related_form	06343971
00238542	_derivationally_related_form	13453861
02565728	_member_meronym	02566109
01123598	_hypernym	01080366
14420954	_hypernym	14418395
01091844	_hypernym	01091427
08941208	_instance_hypernym	08939562
02373601	_member_meronym	02377480
06461077	_has_part	06460295
02282903	_hypernym	02281787
11106943	_instance_hypernym	09972157
00702773	_derivationally_related_form	11444816
12317919	_member_meronym	12319687
08704822	_has_part	08705251
12158148	_has_part	12162181
08975617	_has_part	08515126
01057200	_hypernym	00407535
07755929	_hypernym	07755707
11766609	_member_meronym	11770013
anomaly:	05965195	_also_see	01129977
00742474	_hypernym	00732746
14792703	_hypernym	14944888
13517843	_hypernym	13497135
08906952	_has_part	09323221
01629589	_verb_group	02525447
02121234	_member_meronym	02125311
00533403	_derivationally_related_form	04258982
08707917	_has_part	08708481
00749991	_derivationally_related_form	02537812
00918471	_derivationally_related_form	09823287
09996920	_derivationally_related_form	00591725
03067912	_hypernym	03931044
01933900	_derivationally_related_form	06260121
01883212	_member_meronym	01883762
07719437	_hypernym	07709333
00776523	_derivationally_related_form	00159620
10567401	_derivationally_related_form	01315613
02575766	_member_meronym	02576575
00872414	_derivationally_related_form	07519773
10015897	_derivationally_related_form	00684645
10837567	_instance_hypernym	10090020
01640207	_derivationally_related_form	00923995
01573891	_derivationally_related_form	13773725
01738597	_hypernym	01631534
01715888	_hypernym	01712008
08860123	_member_of_domain_usage	15246853
09211266	_has_part	09211735
06742426	_derivationally_related_form	01001294
01481154	_derivationally_related_form	01017701
01944617	_member_meronym	01944955
01473176	_derivationally_related_form	10496193
00933566	_derivationally_related_form	05117660
06174404	_hypernym	06181584
10246395	_derivationally_related_form	00093593
09541434	_hypernym	09540739
02322596	_derivationally_related_form	10194566
02802215	_hypernym	03442756
06333653	_derivationally_related_form	01024190
12546183	_hypernym	13103136
02621706	_hypernym	02621395
02535457	_derivationally_related_form	00385266
07224151	_hypernym	07212190
11822557	_member_meronym	11824548
02205896	_member_meronym	02217334
02316304	_derivationally_related_form	00213694
01188144	_hypernym	00065070
10722385	_derivationally_related_form	02387034
09980458	_derivationally_related_form	00787049
00060833	_derivationally_related_form	00692349
01585121	_hypernym	01584225
01776313	_hypernym	01776192
08704822	_has_part	08787466
03082979	_has_part	03209910
06782019	_derivationally_related_form	01027668
00201671	_derivationally_related_form	01435380
01969103	_member_meronym	01969550
01085237	_derivationally_related_form	01191755
08888676	_has_part	08889944
09022831	_has_part	08735705
08167953	_hypernym	08167365
00198118	_hypernym	00196485
02130524	_derivationally_related_form	10633450
10812047	_instance_hypernym	10123844
03864356	_derivationally_related_form	02713748
10602470	_hypernym	10368009
08402828	_hypernym	08402442
07162680	_derivationally_related_form	00706243
08714132	_member_of_domain_region	01291674
02747667	_derivationally_related_form	05916739
09114696	_has_part	09288946
03425956	_synset_domain_topic_of	03956922
12792638	_member_meronym	12793886
00007549	_hypernym	00005041
06062842	_derivationally_related_form	10059323
00342980	_verb_group	00252019
02028900	_hypernym	02026059
02415573	_hypernym	02413480
02714139	_derivationally_related_form	00974173
00084562	_derivationally_related_form	00664110
00050652	_derivationally_related_form	03051540
06764244	_derivationally_related_form	01704953
10064405	_derivationally_related_form	06409562
07321247	_hypernym	07320302
02584915	_derivationally_related_form	02628337
10338498	_derivationally_related_form	03799710
05481095	_has_part	05502556
06715638	_derivationally_related_form	00852922
01990800	_hypernym	01975687
04913839	_derivationally_related_form	00878348
11778534	_member_meronym	11793651
02902250	_derivationally_related_form	00182269
02916350	_hypernym	04008634
00820976	_derivationally_related_form	06880249
08072837	_member_meronym	08419984
00748282	_derivationally_related_form	07372959
07217924	_derivationally_related_form	00967098
13274092	_derivationally_related_form	00699334
03668642	_hypernym	03931044
14313943	_synset_domain_topic_of	06060845
02253456	_derivationally_related_form	10409634
08979054	_has_part	09196611
01868258	_derivationally_related_form	00348571
01719302	_derivationally_related_form	06893885
09476521	_derivationally_related_form	00390215
01545314	_derivationally_related_form	00630071
06018465	_has_part	06020737
01408958	_derivationally_related_form	00572043
03420935	_derivationally_related_form	01571744
00544549	_derivationally_related_form	00373544
anomaly:	02434541	_derivationally_related_form	02470685
07478874	_derivationally_related_form	00434919
00484166	_derivationally_related_form	07291312
01024190	_derivationally_related_form	06766190
07094355	_derivationally_related_form	06348500
01068184	_derivationally_related_form	00201407
13366537	_hypernym	13365286
10776339	_derivationally_related_form	00907147
14761806	_hypernym	14759722
00240754	_hypernym	00240184
15258694	_synset_domain_topic_of	00476389
01763829	_hypernym	00146138
14524849	_hypernym	13920835
02718015	_hypernym	02673134
13964466	_derivationally_related_form	09853305
10656488	_derivationally_related_form	03120454
01141160	_derivationally_related_form	02392385
02043982	_derivationally_related_form	07440979
02739889	_hypernym	02740533
07409592	_derivationally_related_form	02685665
08766988	_member_of_domain_region	13752679
08766988	_has_part	09376979
03316274	_derivationally_related_form	01007676
07789541	_hypernym	07775375
00654625	_derivationally_related_form	13558696
00705517	_derivationally_related_form	09801533
02842303	_hypernym	04565963
06477371	_hypernym	06885389
14700745	_hypernym	14755804
05844663	_hypernym	05839024
04768657	_derivationally_related_form	00404642
08083320	_hypernym	08082602
anomaly:	08860123	_member_of_domain_region	06964247
06122178	_derivationally_related_form	10127555
14213199	_hypernym	14052046
00851933	_derivationally_related_form	10552742
08813978	_has_part	09236423
03150232	_derivationally_related_form	01223616
anomaly:	00376715	_derivationally_related_form	07367708
01476180	_derivationally_related_form	14042423
05247369	_hypernym	05317191
04721650	_derivationally_related_form	00135718
10706812	_derivationally_related_form	05952979
07372565	_derivationally_related_form	02507736
01020005	_derivationally_related_form	05703429
00381326	_derivationally_related_form	00189189
01890792	_derivationally_related_form	04625515
03790230	_has_part	03512911
05682950	_derivationally_related_form	02678438
02278061	_synset_domain_topic_of	00766234
02270342	_also_see	00849357
04253437	_derivationally_related_form	00036932
07721456	_hypernym	07721325
08496655	_hypernym	08595720
00526412	_derivationally_related_form	01896484
02662076	_derivationally_related_form	14503665
02261386	_derivationally_related_form	14480420
00462092	_derivationally_related_form	09956578
02563068	_derivationally_related_form	05104548
00698855	_derivationally_related_form	05788149
13624873	_has_part	13624705
10438042	_derivationally_related_form	01387656
02405390	_derivationally_related_form	10680153
00430191	_also_see	00433115
10474446	_hypernym	10090020
11412727	_derivationally_related_form	00109660
01291069	_hypernym	01354673
anomaly:	13137409	_member_of_domain_usage	07742704
04494204	_has_part	03274796
05232691	_hypernym	05230603
02763714	_has_part	03474896
04364545	_hypernym	03739693
00027705	_derivationally_related_form	05294606
01930117	_derivationally_related_form	03242713
02864593	_synset_domain_topic_of	04194289
00427580	_derivationally_related_form	10463714
14130166	_hypernym	14127211
08416328	_hypernym	08251877
